fold,n_train,n_test,r2,mae,rmse
1,19311,4828,0.7957480424231864,2.328103993752267,3.776630963989929
2,19311,4828,0.7863135829717418,2.3066499303384105,3.701232814135248
3,19311,4828,0.8013312413587115,2.2481195455461696,3.6047295969114965
4,19311,4828,0.8070003309659999,2.3228697563906326,3.5872238983512053
5,19312,4827,0.7790199876907475,2.3679227517860215,3.8103294989171586
