animal_id,period_in_animal,day_in_period,time_offset_s,hr_mean,hr_sd,rmssd,pnn50,gyro_mean,angle_sd,dz_sd,active_fraction,frac_rest,weight_kg,hour_of_day,is_fasting_day,hp_kcal_5min
S01,1,1,0.0,84.572689361641,38.1215656200058,390.7838785988072,0.8920454545454546,0.455408959252562,0.0289626455709739,0.0299210034857952,0.0041851851851851,0.5991851851851853,228.295453041001,10.533333333333331,0,12.85800699497896
S01,1,1,300.0,94.53584634340554,44.265175715664434,402.9007160320848,0.8880208333333334,0.7271456221604633,0.0501891660168788,0.0428867469949523,0.0125555555555555,0.5918148148148148,228.295453041001,10.616666666666667,0,14.97175668973248
S01,1,1,601.0,81.88960482549395,42.9961455196453,462.33262327620207,0.9303030303030304,0.897597110292817,0.0585207820151742,0.0452334934005827,0.0257037037037037,0.6450589225589225,228.295453041001,10.7,0,14.46965157936068
S01,1,1,5704.0,91.4108301017409,27.964267121203992,301.84194953650825,0.78125,5.292135553211959,0.2933077257944085,0.2960558681696252,0.2334537037037037,0.0952794612794612,228.295453041001,12.116666666666667,0,29.56610567428895
S01,1,1,6004.0,88.04505800484839,34.35963510385787,311.027793396838,0.75,0.6612827860700168,0.0358372435595394,0.0355961167061715,0.0054074074074074,0.37725,228.295453041001,12.2,0,19.22213084963545
S01,1,1,6304.0,99.36386984185422,39.48801324749954,282.79351905339814,0.8302325581395349,0.5345574901702164,0.0333498636023096,0.0329779057332825,0.0028518518518518,0.4534473304473304,228.295453041001,12.283333333333331,0,15.70483449966483
S01,1,1,6604.0,95.00486255991471,37.92885101974143,298.25208469363025,0.8,0.4655299638484095,0.0264332623362727,0.0279671804348001,0.0,0.5002037037037038,228.295453041001,12.366666666666667,0,15.74585784284739
S01,1,1,6904.0,105.72303081112372,40.53907160307907,333.554386133314,0.8377192982456141,0.5760860465739952,0.0326594897221752,0.0327602907553649,0.0059999999999999,0.5174814814814814,228.295453041001,12.45,0,16.61519617586254
S01,1,1,7205.0,98.50482275771884,39.19348901354039,309.5767366397944,0.863849765258216,0.4915817696381995,0.0257754292738715,0.0243599361629522,0.0034166666666666,0.5179570707070706,228.295453041001,12.533333333333331,0,14.4655057145048
S01,1,1,7505.0,105.43182193170004,39.86379510138492,320.80489581928026,0.8730853391684902,0.5019606575396246,0.0274957862008612,0.0261987101671437,0.0018148148148148,0.4757407407407407,228.295453041001,12.616666666666667,0,17.02578472446213
S01,1,1,7805.0,99.4748298685562,38.1203380662323,333.07015746258,0.8314087759815243,0.8347773822917123,0.0499826150472323,0.0473824132525382,0.0138888888888888,0.3739360269360269,228.295453041001,12.7,0,16.53343484086441
S01,1,1,8105.0,106.97225613571042,40.52089909451297,328.07971592282263,0.8760869565217392,0.6204692797449415,0.0378947152537842,0.0364810293852066,0.0035925925925925,0.384111111111111,228.295453041001,12.783333333333331,0,16.29844996780966
